dataset,format,file_gb,pipeline_reads_gb,cells,genes,molecules,browser_outcome,browser_process_s,browser_peak_gb,browser_genes_loaded,browser_error,server_outcome,server_process_s,server_peak_gb,server_tier,escalated_tier,escalated_process_s,escalated_peak_gb,upload_s,queue_s,fargate_usd,output_gb,s3_usd_month,merfisheyes_link
h5ad__cbm5_combined_neuropath,h5ad,0.511,,152568,223,,ok,4.3,1.98,223,,ok,16.4,0.39,16GB,,,,5.5,28.7,0.0037,0.074,0.0017,https://dev.merfisheyes.com/viewer/ds_EMVjFqCK9Z
h5ad__retroB30_all_BRBB_Axon_Virus_AnnotBRBBTransfer,h5ad,2.493,,3009652,992,,failed,,0.63,,"app reported: Failed to process data: The requested file could not be read, typically due to permission problems that ha",ok,3954.7,13.49,16GB,,,,23.8,29.5,0.2602,1.135,0.0261,https://dev.merfisheyes.com/viewer/ds_MkBF4ZUNql
h5ad__scdata_2000gnMERFISH_DCBB_5_9_2024__set1_FULL_corrected__wit,h5ad,2.938,,93022,2088,,failed,,0.64,,"app reported: Failed to process data: The requested file could not be read, typically due to permission problems that ha",ok,94.3,1.1,16GB,,,,26.1,44.0,0.0104,0.429,0.0099,https://dev.merfisheyes.com/viewer/ds_PHdsxCpLld
h5ad__scdata_2000gnMERFISH_DCBB_5_9_2024__set3,h5ad,0.749,,163800,275,,ok,6.8,3.01,275,,ok,26.8,0.57,16GB,,,,6.0,32.3,0.0045,0.130,0.003,https://dev.merfisheyes.com/viewer/ds_c_YoIgzLM6
h5ad__year1s_labelled_edu,h5ad,1.807,,381811,275,,ok,30.0,5.77,275,,ok,84.2,0.88,16GB,,,,18.8,35.7,0.0088,0.309,0.0071,https://dev.merfisheyes.com/viewer/ds_9Nqtp0tNYh
merscope__ed_lein_ace-irk-sag,merscope,4.508,0.45,878735,315,,failed,,5.58,,app reported: Failed to process data: Unserializable return value,error,4.3,,16GB,,,,11.1,101.9,0.0061,,0,
merscope__hum_brain2_280mb,merscope,0.302,0.302,137627,1000,,oom,,4.66,,page.waitForURL: Navigation failed because page crashed!,ok,100.6,2.69,16GB,,,,7.8,32.6,0.0095,0.050,0.0012,https://dev.merfisheyes.com/viewer/ds_znG9oP0dOU
merscope__Human_Colon_Cancer_1-2gb,merscope,1.425,1.425,706468,900,,oom,,4.69,,page.waitForURL: Navigation failed because page crashed!,ok,286.3,14.25,16GB,,,,15.1,29.4,0.022,0.145,0.0033,https://dev.merfisheyes.com/viewer/ds_LxqFp-bqNs
merscope__Human_Ovarian_Cancer_150mb,merscope,0.156,0.156,71381,550,,ok,14.2,3.1,500,,ok,42.1,0.83,16GB,,,,3.8,32.7,0.0056,0.016,0.0004,https://dev.merfisheyes.com/viewer/ds_hJF9S1AryC
merscope__Human_Uterine_Cancer_800mb,merscope,1.047,1.047,739735,550,,oom,,4.81,,page.waitForURL: Navigation failed because page crashed!,ok,576.9,9.54,16GB,,,,10.1,31.7,0.0405,0.223,0.0051,https://dev.merfisheyes.com/viewer/ds_T-MTwvdsRQ
