ace-can-ill	CCK
ace-can-ill	EPHA3
ace-can-ill	SLA
ace-can-ill	GLUL
ace-can-ill	RUNX1
ace-can-ill	NR3C2
ace-can-ill	SMC4
ace-can-ill	KNL1
ace-can-ill	CAMK2A
ace-can-ill	ZNF536
ace-can-ill	DLL3
ace-can-ill	APOLD1
ace-can-ill	BCL11B
ace-can-ill	SPOCK3
ace-can-ill	CREB5
ace-can-ill	CFAP299
ace-can-ill	GAD1
ace-can-ill	KCNIP4
ace-can-ill	KLHL14
ace-can-ill	FAM107A
ace-can-ill	STAT1
ace-can-ill	IFI6
ace-can-ill	COL4A5
ace-can-ill	GRM3
ace-can-ill	GRIN3A
ace-can-ill	SLC35F3
ace-can-ill	VIP
ace-can-ill	ASPM
ace-can-ill	TNR
ace-can-ill	MOXD1
ace-can-ill	NKAIN2
ace-can-ill	BNIP3
ace-can-ill	TCERG1L
ace-can-ill	EBF3
ace-can-ill	EPHA7
ace-can-ill	TCF7L2
ace-can-ill	SORCS3
ace-can-ill	VAV3
ace-can-ill	OLFM3
ace-can-ill	KCNQ5
ace-can-ill	COL24A1
ace-can-ill	HCRTR2
ace-can-ill	BCAS1
ace-can-ill	TSHZ2
ace-can-ill	IFIT1
ace-can-ill	IFIT3
ace-can-ill	SPATA6
ace-can-ill	CHRDL1
ace-can-ill	VEGFA
ace-can-ill	IL1RAPL2
ace-can-ill	KLHL4
ace-can-ill	ITM2A
ace-can-ill	PBX3
ace-can-ill	ID3
ace-can-ill	NRP1
ace-can-ill	SVIL
ace-can-ill	COL4A1
ace-can-ill	APBB1IP
ace-can-ill	GAD2
ace-can-ill	RORB
ace-can-ill	GPC5
ace-can-ill	KLHL1
ace-can-ill	KITLG
ace-can-ill	ARX
ace-can-ill	LHFPL6
ace-can-ill	SFRP1
ace-can-ill	MAB21L1
ace-can-ill	CNTLN
ace-can-ill	CD99
ace-can-ill	ADARB2
ace-can-ill	RRM2
ace-can-ill	DOCK8
ace-can-ill	OLIG1
ace-can-ill	SEMA5A
ace-can-ill	AQP4
ace-can-ill	MOBP
ace-can-ill	GPX3
ace-can-ill	ALK
ace-can-ill	GRIK1
ace-can-ill	TFPI
ace-can-ill	ZBBX
ace-can-ill	ABLIM1
ace-can-ill	SPP1
ace-can-ill	GLI3
ace-can-ill	KIAA1217
ace-can-ill	GRIN2A
ace-can-ill	ITIH5
ace-can-ill	CCBE1
ace-can-ill	MX1
ace-can-ill	PTCHD4
ace-can-ill	MAP3K1
ace-can-ill	COLEC12
ace-can-ill	PCBP3
ace-can-ill	DIAPH3
ace-can-ill	DSCAM
ace-can-ill	PCDH11Y
ace-can-ill	LINC02487
ace-can-ill	RGS6
ace-can-ill	HMGA2
ace-can-ill	LTBP1
ace-can-ill	SLIT3
ace-can-ill	ETV1
ace-can-ill	MYT1L
ace-can-ill	CEBPD
ace-can-ill	COBLL1
ace-can-ill	NECAB1
ace-can-ill	TFRC
ace-can-ill	NFIA-AS2
ace-can-ill	LAMA2
ace-can-ill	LNCAROD
ace-can-ill	TOP2A
ace-can-ill	LHFPL3
ace-can-ill	COL12A1
ace-can-ill	ENPP2
ace-can-ill	VWC2L
ace-can-ill	SEMA3E
ace-can-ill	TNS3
ace-can-ill	RELN
ace-can-ill	CPNE4
ace-can-ill	DLX6-AS1
ace-can-ill	ABCA8
ace-can-ill	RBMS3
ace-can-ill	MDGA1
ace-can-ill	DIO2
ace-can-ill	HMGB2
ace-can-ill	SGO1-AS1
ace-can-ill	CLMP
ace-can-ill	CCN1
